Year,Precipitation,Max Temperature,Min Temperature,Corn,Soybean
1991,63.81,6.92,-2.92,6.934730869,0.4108270893
1992,68.65,5.05,-4.08,5.996472663,0.4312169312
1993,62.56,5.46,-3.77,6.814741598,0.3862016014
1994,65.57,5.96,-3.38,7.577821305,0.3668536067
1995,67.37,5.65,-3.44,7.349949864,0.3598373506
1996,70.05,4.96,-3.94,6.97446458,0.4015012335
1997,61.64,5.69,-3.41,7.056879661,0.3911482255
1998,60.42,7.92,-0.93,8.085012087,0.3630848109
1999,69.52,7.69,-1.46,8.055601318,0.3674428541
2000,64.73,6.35,-2.97,6.604068185,0.3909998703
2001,72.54,8.01,-1.24,6.468734241,0.7039324525
2002,67.76,6.02,-3.19,7.098848493,0.438664637
2003,63.78,6.26,-3.09,7.968629136,0.4659761602
2004,75.59,5.51,-3.86,8.238146718,0.3758378422
2005,66.55,7.5,-2.01,9.104847624,0.3623283698
2006,64.45,8.13,-1.04,9.445750161,0.3231974804
2007,72.68,6.71,-2.68,8.39983165,0.4501324801
2008,72.31,5.93,-3.32,9.811275206,0.3423241541
2009,67.7,5.91,-2.96,8.967141887,0.3702631481
2010,63.69,8.55,-0.56,10.28862565,0.3226084734
2011,61.13,7.65,-2.22,9.540400297,0.3124745274
2012,67.67,8.15,-1.18,9.6134839,0.3077397925
2013,69.91,5.7,-3.68,10.0707737,0.3242759217
2014,71.12,5.17,-4.02,10.07022658,0.3266334309
2015,68.37,7,-2.51,10.60769871,0.3180099236
2016,68.72,7.61,-1.73,9.81660616,0.326898402
2017,70.71,6.87,-2.44,10.48098837,0.3261602486
2018,65.33,6.22,-3.4,10.41689438,0.2895131532
2019,70.83,5.84,-3.43,9.942008975,0.3371716736
2020,68.8,7.02,-2.13,10.28729792,0.2933456136
